case,gecerli_mi,yapilandirma,outcome,backend_used,gibbs_energy_J,n_points,n_failed_points,layer_a_passed,layer_b_passed,layer_b_model,runtime_s
3,evet,bare,computed,,-41981.57771667154,,,,,,0.168
4,evet,bare,engine_error,,,,,,,,0.183
5,evet,bare,computed,,-59870.53909558296,,,,,,0.168
6,hayir,bare,engine_error,,,,,,,,0.159
7,hayir,bare,computed,,-42271.75288058687,,,,,,0.153
8,hayir,bare,computed,ocasi_loop,,15,0,,,,0.301
9,hayir,bare,engine_error,,,,,,,,0.146
10,hayir,bare,engine_error,,,,,,,,0.129
11,evet,bare,computed,ocasi_loop,,15,0,,,,0.286
12,evet,bare,computed,ocasi_loop,,15,0,,,,0.631
13,evet,bare,computed,ocasi_loop,,15,0,,,,1.186
14,evet,bare,engine_error,,,,,,,,0.291
15,evet,bare,computed,ocasi,-41981.57771667154,,,,,,0.17
16,evet,bare,computed,,-41966.01528175919,,,,,,0.154
17,hayir,bare,computed,,-52635.87250121081,,,,,,0.12
18,evet,bare,computed,,-42248.152473183436,,,,,,0.152
19,evet,bare,engine_error,,,,,,,,0.243
20,evet,bare,engine_error,,,,,,,,0.158
3,evet,preflight,computed,,-41981.57771667154,,,,,,0.166
4,evet,preflight,engine_error,,,,,,,,0.173
5,evet,preflight,computed,,-59870.53909558296,,,,,,0.172
6,hayir,preflight,preflight_rejected,,,,,,,,0.125
7,hayir,preflight,preflight_rejected,,,,,,,,0.116
8,hayir,preflight,preflight_rejected,,,,,,,,0.143
9,hayir,preflight,preflight_rejected,,,,,,,,0.14
10,hayir,preflight,preflight_rejected,,,,,,,,0.137
11,evet,preflight,computed,ocasi_loop,,15,0,,,,0.281
12,evet,preflight,computed,ocasi_loop,,15,0,,,,0.551
13,evet,preflight,computed,ocasi_loop,,15,0,,,,1.167
14,evet,preflight,engine_error,,,,,,,,0.291
15,evet,preflight,computed,ocasi,-41981.57771667154,,,,,,0.196
16,evet,preflight,computed,,-41966.01528175919,,,,,,0.163
17,hayir,preflight,preflight_rejected,,,,,,,,0.128
18,evet,preflight,computed,,-42248.152473183436,,,,,,0.183
19,evet,preflight,engine_error,,,,,,,,0.272
20,evet,preflight,engine_error,,,,,,,,0.165
3,evet,cascade,computed,ocasi,-41981.57771667154,,,,,,0.166
4,evet,cascade,computed,native_oc,-56564.0,,,,,,0.341
5,evet,cascade,computed,ocasi,-59870.53909558296,,,,,,0.192
6,hayir,cascade,preflight_rejected,,,,,,,,0.096
7,hayir,cascade,preflight_rejected,,,,,,,,0.126
8,hayir,cascade,preflight_rejected,,,,,,,,0.118
9,hayir,cascade,preflight_rejected,,,,,,,,0.117
10,hayir,cascade,preflight_rejected,,,,,,,,0.135
11,evet,cascade,computed,native_oc_step_gnuplot,,58,0,,,,5.544
12,evet,cascade,computed,native_oc_step_gnuplot,,151,0,,,,4.422
13,evet,cascade,computed,python_loop_matplotlib,,15,0,,,,1.491
14,evet,cascade,computed,native_oc,-57674.0,,,,,,0.561
15,evet,cascade,computed,ocasi,-41981.57771667154,,,,,,0.229
16,evet,cascade,computed,ocasi,-41966.01528175919,,,,,,0.174
17,hayir,cascade,preflight_rejected,,,,,,,,0.117
18,evet,cascade,computed,ocasi,-42248.152473183436,,,,,,0.155
19,evet,cascade,computed,native_oc,-62458.0,,,,,,0.51
20,evet,cascade,computed,native_oc,-56564.0,,,,,,0.368
3,evet,layera,computed,ocasi,-41981.57771667154,,,True,,,0.171
4,evet,layera,computed,native_oc,-56564.0,,,True,,,0.354
5,evet,layera,computed,ocasi,-59870.53909558296,,,True,,,0.183
6,hayir,layera,preflight_rejected,,,,,,,,0.121
7,hayir,layera,preflight_rejected,,,,,,,,0.122
8,hayir,layera,preflight_rejected,,,,,,,,0.142
9,hayir,layera,preflight_rejected,,,,,,,,0.117
10,hayir,layera,preflight_rejected,,,,,,,,0.122
11,evet,layera,computed,native_oc_step_gnuplot,,58,0,True,,,46.298
12,evet,layera,computed,native_oc_step_gnuplot,,151,0,True,,,12.036
13,evet,layera,computed,python_loop_matplotlib,,15,0,True,,,1.503
14,evet,layera,computed,native_oc,-57674.0,,,True,,,0.523
15,evet,layera,computed,ocasi,-41981.57771667154,,,True,,,0.226
16,evet,layera,computed,ocasi,-41966.01528175919,,,True,,,0.145
17,hayir,layera,preflight_rejected,,,,,,,,0.119
18,evet,layera,computed,ocasi,-42248.152473183436,,,True,,,0.17
19,evet,layera,computed,native_oc,-62458.0,,,True,,,0.491
20,evet,layera,computed,native_oc,-56564.0,,,True,,,0.359
3,evet,full,computed,ocasi,-41981.57771667154,,,True,True,deepseek-ai/deepseek-v4-flash,0.181
4,evet,full,computed,native_oc,-56564.0,,,True,True,deepseek-ai/deepseek-v4-flash,0.377
5,evet,full,computed,ocasi,-59870.53909558296,,,True,True,deepseek-ai/deepseek-v4-flash,0.285
6,hayir,full,preflight_rejected,,,,,,,,0.14
7,hayir,full,preflight_rejected,,,,,,,,0.134
8,hayir,full,preflight_rejected,,,,,,,,0.119
9,hayir,full,preflight_rejected,,,,,,,,0.136
